"Alpha","Points:0","Points:1","Points:2","V:0","V:1","V:2","Wave_Drag","Wave_Drag_2D","Wave_Height","Wave_Height_2D","Wave_slope"
0.20779,12,2,-556.17,11.049,-0.061585,-0.24815,0.13837,0.02848,-0.1803,-0.14351,0.045791
0.2287,20,2,-556.17,10.25,0.15995,-0.88156,0.12209,0.024408,0.057296,0.042744,0.065123
0.20906,28,2,-556.17,10.533,0.091027,0.083983,0.1283,0.026544,0.20758,0.16815,-0.0035568
0.22952,36,2,-556.17,10.923,-0.15838,1.0839,0.14644,0.030251,0.12128,0.1222,0.03268
0.17317,44,2,-556.17,10.624,-0.43749,1.3253,0.11054,0.02305,0.040493,0.018751,-0.064719
0.17996,52,2,-556.17,9.8655,-0.58968,1.1433,0.089985,0.018032,-0.17074,-0.079187,0.00016628
0.20081,60,2,-556.17,9.4426,-0.41203,0.43675,0.086156,0.016042,0.16735,0.071389,0.02015
0.20823,68,2,-556.17,9.4932,0.070364,-0.73396,0.088211,0.015911,-0.07031,-0.010323,0.014257
0.17493,76,2,-556.17,9.4951,0.39491,-1.4566,0.081388,0.016472,0.051957,0.061524,-0.015613
0.16959,84,2,-556.17,9.2147,0.37493,-1.1074,0.074129,0.014345,0.23163,0.19163,-0.017362
0.19122,92,2,-556.17,8.7813,0.22598,-0.25493,0.067387,0.011548,0.17132,0.10596,-0.084397
0.21893,100,2,-556.17,8.36,0.16704,0.34034,0.05987,0.0092855,-0.28116,-0.22876,-0.013841
0.22154,108,2,-556.17,8.113,0.1662,0.44371,0.053722,0.0079943,-0.41927,-0.40935,-0.023226
0.23045,116,2,-556.17,8.2892,0.072148,0.1502,0.062731,0.010609,-0.49785,-0.36985,0.044146
0.23103,124,2,-556.17,9.0665,-0.15566,-0.26607,0.090618,0.017219,0.19157,0.1058,0.11021
0.18526,132,2,-556.17,10.103,-0.33739,-0.28796,0.10639,0.020645,0.36634,0.26062,-0.079529
0.24532,140,2,-556.17,10.655,-0.29952,0.34585,0.14012,0.028946,-0.093205,0.067847,0.044387
0.23448,148,2,-556.17,10.641,-0.1744,0.95318,0.1393,0.030037,0.41357,0.30095,0.10451
0.16942,156,2,-556.17,10.798,-0.18952,0.74032,0.1216,0.026293,0.24465,0.21503,-0.10759
0.23152,164,2,-556.17,11.282,-0.32408,-0.19003,0.16281,0.034604,-0.10197,-0.034221,0.017284
0.2062,172,2,-556.17,11.254,-0.34746,-0.96167,0.15264,0.035432,-0.042112,-0.052493,0.013262
0.19018,180,2,-556.17,10.366,-0.17272,-0.74786,0.10792,0.020763,-0.044542,-0.064186,0.00047761
0.24171,188,2,-556.17,9.3634,0.10104,0.082114,0.087058,0.012695,-0.16483,-0.091581,0.062901
0.22419,4,2,-546.33,10.746,-0.18318,1.7205,0.1567,0.032451,-0.19713,-0.20798,-0.039439
0.2262,12,2,-546.33,13.826,-0.70058,0.80629,0.3119,0.079665,-0.1803,-0.14351,0.045791
0.20202,20,2,-546.33,14.358,-0.2668,0.53109,0.2915,0.073658,0.057296,0.042744,0.065123
0.17548,28,2,-546.33,11.818,0.14222,1.1374,0.14601,0.03142,0.20758,0.16815,-0.0035568
0.2272,36,2,-546.33,9.533,0.11643,1.8921,0.091129,0.016231,0.12128,0.1222,0.03268
0.2009,44,2,-546.33,9.1427,0.15578,2.1607,0.080229,0.014953,0.040493,0.018751,-0.064719
0.20831,52,2,-546.33,10.184,0.12926,1.7868,0.1231,0.027097,-0.17074,-0.079187,0.00016628
0.21288,60,2,-546.33,11.935,-0.21434,0.83344,0.20324,0.049701,0.16735,0.071389,0.02015
0.20034,68,2,-546.33,13.591,-0.6481,-0.26667,0.27106,0.07074,-0.07031,-0.010323,0.014257
0.16353,76,2,-546.33,14.297,-0.6865,-0.65635,0.26991,0.076812,0.051957,0.061524,-0.015613
0.15336,84,2,-546.33,13.654,-0.31039,-0.21295,0.21898,0.057069,0.23163,0.19163,-0.017362
0.16697,92,2,-546.33,12.155,0.08528,0.30401,0.16153,0.036936,0.17132,0.10596,-0.084397
0.18662,100,2,-546.33,10.467,0.25398,0.5747,0.10728,0.020563,-0.28116,-0.22876,-0.013841
0.1911,108,2,-546.33,8.8302,0.15609,0.69818,0.061418,0.009725,-0.41927,-0.40935,-0.023226
0.22042,116,2,-546.33,7.5096,-0.066884,0.49778,0.037648,0.0048627,-0.49785,-0.36985,0.044146
0.23721,124,2,-546.33,6.8995,-0.14499,-0.092344,0.031576,0.0037301,0.19157,0.1058,0.11021
0.21798,132,2,-546.33,7.0397,0.066686,-0.5038,0.03238,0.0037062,0.36634,0.26062,-0.079529
0.29981,140,2,-546.33,7.4686,0.36756,-0.14592,0.046191,0.0062259,-0.093205,0.067847,0.044387
0.26524,148,2,-546.33,7.6785,0.39512,0.49257,0.049457,0.007031,0.41357,0.30095,0.10451
0.19263,156,2,-546.33,7.8116,0.052992,0.63701,0.044159,0.0060545,0.24465,0.21503,-0.10759
0.26806,164,2,-546.33,8.3162,-0.24622,0.4361,0.067393,0.010643,-0.10197,-0.034221,0.017284
0.22866,172,2,-546.33,8.8568,-0.10384,0.29578,0.077547,0.014243,-0.042112,-0.052493,0.013262
0.21286,180,2,-546.33,8.7599,0.30184,-0.00025533,0.068846,0.010974,-0.044542,-0.064186,0.00047761
0.27737,188,2,-546.33,8.6399,0.34381,-0.69673,0.07912,0.011048,-0.16483,-0.091581,0.062901
